date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,QBB_1,QBB_5,QBB_10,QBB_15,QBB_20,QBB_30,QBB_35,QBB_40
2022-08-08,0.8015844298040818,1.5878615742755258,2.062559371713534,1.7537353891458598,2.29833207117341,1.194716499292845,1.4972108429168691,1.625786210714557,2.0608049563197035,3.904052964095607,2.040635678521508,1.9174822232276487,1.9464247041744591,1.9464247041744591,1.9174822232276487,1.874654321433888,1.9174822232276487
2022-08-09,-0.5292586074244187,1.5646867612860234,2.0299961120787198,1.7503565587354464,2.2926465168158674,1.3112956516176493,1.599322264331969,1.6093033947745876,2.046931734131441,3.904052964095607,2.1118132256229525,1.923199823783859,2.0259091369787523,1.936530296692233,1.857845190549052,1.831320554238909,1.874654321433888
2022-08-10,0.5139304466666651,1.5458992672094762,1.991598320171119,1.7439259290632387,2.274374447353888,1.2629865330886816,1.5355797287469704,1.595874172101022,2.0194137354433948,3.904052964095607,2.0259091369787523,1.923199823783859,1.9560306246258223,1.923199823783859,1.756223286743604,1.8172999593217185,1.7903888289272216
2022-08-11,0.3249130802796481,1.5082465466619075,1.94186625243562,1.7129373796123746,2.2368586173799483,1.3199059126877242,1.5853607236040357,1.5571651502470176,1.97998815032606,3.904052964095607,2.1118132256229525,1.9174822232276487,1.923199823783859,1.8172999593217185,1.9174822232276487,1.874654321433888,1.7903888289272216
2022-08-12,0.1403202201297777,1.4439466607955318,1.8456286520274556,1.6343871557966048,2.1229679203411025,1.2638808007422664,1.516112537004603,1.483267511315416,1.8791831076474808,3.904052964095607,1.9560306246258223,1.874654321433888,1.857845190549052,1.874654321433888,1.874654321433888,1.857845190549052,1.7903888289272216
2022-08-15,0.2452083658880222,1.3684482732755112,1.73522101309564,1.5188140072249785,1.9626794711106537,1.2148695654760968,1.4508021563632931,1.3905369332171442,1.7527224046207102,3.904052964095607,2.027083825830762,2.045944748598071,2.0259091369787523,1.9174822232276487,1.7950015358077351,1.831320554238909,1.8584920924167687
2022-08-16,0.3438534178376102,1.29684561904209,1.6277865021514994,1.3751991240553971,1.7647111517468197,1.1726774661589208,1.3902895744335502,1.2984004043605957,1.6226406122774244,3.904052964095607,2.1118132256229525,1.874654321433888,1.9174822232276487,1.9174822232276487,1.7950015358077351,1.8584920924167687,1.7327070804954785
2022-08-17,-0.9795176881744097,1.2440286014046291,1.5386212603829466,1.2810647286496948,1.625334010977222,1.1381647198301952,1.336408964670995,1.2337340684203344,1.5218533215777943,3.904052964095607,2.0259091369787523,1.9560306246258223,1.8584920924167687,1.874654321433888,1.8584920924167687,1.831320554238909,1.7088554182920277
2022-08-18,0.4444558893747679,1.211219836299387,1.4747508714445146,1.2278539249893214,1.5390822763237952,1.110842640017808,1.291776148321726,1.1958856837260592,1.4552567277662052,3.904052964095607,1.9560306246258223,2.026653166904957,1.8584920924167687,1.9174822232276487,1.8584920924167687,1.8172999593217185,1.7088554182920277
2022-08-19,-0.9433723442874468,1.4075165540875412,1.725814707084374,1.4350216419261912,1.7951508410799024,1.4334608786575171,1.6289489796308847,1.4100848868098956,1.706249139193935,3.904052964095607,1.9560306246258223,1.9560306246258223,1.874654321433888,1.874654321433888,1.874654321433888,1.7903888289272216,1.7430097192624938
2022-08-22,-1.818982216045215,1.3537842303136438,1.6488009442916616,1.3856448622519688,1.719460810334982,1.3578289122037783,1.5557154204147845,1.3543652079193522,1.6320154422872724,3.904052964095607,2.027083825830762,1.923199823783859,1.831320554238909,1.874654321433888,1.874654321433888,1.756223286743604,1.7327070804954785
2022-08-23,-0.2624682375191871,1.485190041728066,1.815443405488244,1.5433223860510457,1.9124831950698544,1.571098463108069,1.7856747237853925,1.502747156046648,1.810985295550304,3.904052964095607,2.1952033669349618,2.040635678521508,2.0599992320524088,1.923199823783859,1.9560306246258223,2.0108220784701465,2.140654785264779
2022-08-24,0.3881120792017616,1.9611692594783083,2.424997719892713,1.9584702857554703,2.4337147615736536,2.257001898015166,2.518667673713696,1.969231346995461,2.3528826706428494,3.904052964095607,2.0259091369787523,1.923199823783859,1.9464247041744591,1.874654321433888,1.8584920924167687,1.8584920924167687,1.756223286743604
2022-08-25,-0.0814470093211149,1.795183711460027,2.254203944160581,1.812072492332488,2.278709104505383,2.073189308212594,2.384771050374901,1.7965624700097729,2.1868035641577253,3.904052964095607,2.1118132256229525,1.9174822232276487,1.923199823783859,1.8584920924167687,1.831320554238909,1.857845190549052,1.7608603816440391
2022-08-26,-1.695707833440334,1.660359571283095,2.107424608649457,1.684610719619269,2.1274247378882563,1.904785217706547,2.2511514628206224,1.6551654282292825,2.0362435796643306,3.904052964095607,1.9560306246258223,1.874654321433888,1.923199823783859,1.8584920924167687,1.831320554238909,1.874654321433888,1.7608603816440391
2022-08-29,-0.8319147879940554,1.5383168064583983,1.961750720517661,1.5434457928230836,1.9607345238345548,1.761022073478185,2.1280671795822244,1.5214460225745476,1.8856339588865945,3.904052964095607,2.712977882112936,2.1060911729973317,2.0259091369787523,1.9560306246258223,2.0108220784701465,1.9174822232276487,1.9464247041744591
2022-08-30,-0.1940007897818394,1.92271469096889,2.4312158791178065,1.9094174143699727,2.412555989212109,2.273762725633456,2.647730379177088,1.9184398097456137,2.33926706995352,3.904052964095607,2.1118132256229525,1.874654321433888,2.026653166904957,1.923199823783859,1.8172999593217185,1.857845190549052,1.8584920924167687
2022-08-31,-1.380125787240161,1.869466811744364,2.387823544234206,1.9279675370979583,2.448719464448094,2.221675503057702,2.639416763788892,1.886389573668548,2.3329131107927528,3.904052964095607,2.0259091369787523,1.9560306246258223,1.9560306246258223,1.9174822232276487,1.8172999593217185,1.8584920924167687,1.874654321433888
2022-09-01,-1.493357410583825,1.7187153738472558,2.229554938235679,1.7728421307235085,2.2836071366931088,2.0448993081647053,2.50178936047027,1.7242921137433267,2.168548409895623,3.904052964095607,2.1118132256229525,2.1319834159869435,2.027083825830762,2.0259091369787523,1.9560306246258223,1.9174822232276487,2.040635678521508
2022-09-02,2.1833628155107467,1.898713473889968,2.452695563130346,1.9812202453416992,2.549931573659864,2.2784441347708526,2.749645227987518,1.9251226869603508,2.4087186439877493,3.904052964095607,2.140654785264779,2.040635678521508,2.0599992320524088,2.040635678521508,2.0599992320524088,1.923199823783859,1.9560306246258223
2022-09-05,-1.2118439938979588,2.068339765799442,2.680283762061446,2.1784375274678034,2.8204091976486225,2.502355854660223,3.008322337032846,2.112080898039244,2.64632412477094,3.904052964095607,2.712977882112936,2.040635678521508,2.040635678521508,2.026653166904957,1.9174822232276487,1.9174822232276487,2.026653166904957
2022-09-06,0.1867488180222174,2.4245859602070987,3.0834886646395456,2.5055228044518496,3.2181503228817667,2.3248206509871023,2.835782525719274,2.471608813564923,3.037907842274978,3.904052964095607,2.1118132256229525,1.9560306246258223,1.9174822232276487,1.923199823783859,1.8584920924167687,1.8584920924167687,1.9174822232276487
