date,BRVM-COMPOSITE,BRVM-FINANCES,CAC_40,S&P_500
2020-01-02,157.49,59.74,6041.5,3257.85009765625
2020-01-03,156.59,59.42,6044.16015625,3234.85009765625
2020-01-06,154.28,58.87,6013.58984375,3246.280029296875
2020-01-07,150.67,57.74,6012.35009765625,3237.179931640625
2020-01-08,147.78,58.3,6031.0,3253.050048828125
2020-01-09,149.15,57.98,6042.5498046875,3274.699951171875
2020-01-10,148.29,57.33,6037.10986328125,3265.35009765625
2020-01-13,148.14,57.22,6036.14013671875,3288.1298828125
2020-01-14,147.83,56.83,6040.89013671875,3283.14990234375
2020-01-15,149.58,57.99,6032.60986328125,3289.2900390625
2020-01-16,149.12,57.16,6039.02978515625,3316.81005859375
2020-01-17,150.89,57.76,6100.72021484375,3329.6201171875
2020-01-20,151.8,58.11,6078.5400390625,
2020-01-21,151.78,57.6,6045.990234375,3320.7900390625
2020-01-22,151.84,58.04,6010.97998046875,3321.75
2020-01-23,152.38,58.14,5971.7900390625,3325.5400390625
2020-01-24,153.45,59.11,6024.259765625,3295.469970703125
2020-01-27,152.68,58.59,5863.02001953125,3243.6298828125
2020-01-28,152.29,58.47,5925.81982421875,3276.239990234375
2020-01-29,152.33,58.33,5954.89013671875,3273.39990234375
2020-01-30,152.85,58.48,5871.77001953125,3283.659912109375
2020-01-31,152.79,58.58,5806.33984375,3225.52001953125
2020-02-03,151.5,57.7,5832.509765625,3248.919921875
2020-02-04,152.2,58.48,5935.0498046875,3297.590087890625
2020-02-05,151.5,58.14,5985.39990234375,3334.68994140625
2020-02-06,149.65,57.51,6038.18017578125,3345.780029296875
2020-02-07,148.67,57.13,6029.75,3327.7099609375
2020-02-10,146.45,56.65,6015.669921875,3352.090087890625
2020-02-11,147.3,56.16,6054.759765625,3357.75
2020-02-12,145.75,56.13,6104.72998046875,3379.449951171875
2020-02-13,145.38,55.96,6093.14013671875,3373.93994140625
2020-02-14,144.71,55.53,6069.35009765625,3380.159912109375
2020-02-17,146.11,55.74,6085.9501953125,
2020-02-18,145.63,55.54,6056.81982421875,3370.2900390625
2020-02-19,144.56,55.68,6111.240234375,3386.14990234375
2020-02-20,144.11,55.43,6062.2998046875,3373.22998046875
2020-02-21,144.39,55.6,6029.72021484375,3337.75
2020-02-24,144.14,55.11,5791.8701171875,3225.889892578125
2020-02-25,143.31,55.18,5679.68017578125,3128.2099609375
2020-02-26,143.82,55.01,5684.5498046875,3116.389892578125
2020-02-27,144.95,54.99,5495.60009765625,2978.760009765625
2020-02-28,146.01,55.42,5309.89990234375,2954.219970703125
2020-03-02,148.61,55.61,5333.52001953125,3090.22998046875
2020-03-03,147.12,55.52,5393.169921875,3003.3701171875
2020-03-04,146.78,55.4,5464.89013671875,3130.1201171875
2020-03-05,145.86,55.13,5361.10009765625,3023.93994140625
2020-03-06,146.46,55.58,5139.10986328125,2972.3701171875
2020-03-09,145.73,55.66,4707.91015625,2746.56005859375
2020-03-10,146.18,55.52,4636.60986328125,2882.22998046875
2020-03-11,145.38,55.61,4610.25,2741.3798828125
2020-03-12,145.05,55.32,4044.260009765625,2480.639892578125
2020-03-13,145.05,55.32,4118.35986328125,2711.02001953125
2020-03-16,143.95,55.05,3881.4599609375,2386.1298828125
2020-03-17,143.17,54.97,3991.780029296875,2529.18994140625
2020-03-18,142.73,55.05,3754.840087890625,2398.10009765625
2020-03-19,140.03,54.92,3855.5,2409.389892578125
2020-03-20,140.11,54.85,4048.800048828125,2304.919921875
2020-03-23,138.27,54.45,3914.31005859375,2237.39990234375
2020-03-24,137.93,54.31,4242.7001953125,2447.330078125
2020-03-25,137.16,54.02,4432.2998046875,2475.56005859375
2020-03-26,136.16,53.96,4543.580078125,2630.070068359375
2020-03-27,135.24,53.55,4351.490234375,2541.469970703125
2020-03-30,134.65,53.24,4378.509765625,2626.64990234375
2020-03-31,134.09,52.94,4396.1201171875,2584.590087890625
2020-04-01,134.27,53.24,4207.240234375,2470.5
2020-04-02,134.04,53.13,4220.9599609375,2526.89990234375
2020-04-03,133.55,52.65,4154.580078125,2488.64990234375
2020-04-06,133.18,52.49,4346.14013671875,2663.679931640625
2020-04-07,133.07,52.41,4438.27001953125,2659.409912109375
2020-04-08,132.89,52.29,4442.75,2749.97998046875
2020-04-09,133.23,52.46,4506.85009765625,2789.820068359375
2020-04-10,133.46,52.47,,
2020-04-13,,,,2761.6298828125
2020-04-14,133.76,52.9,4523.91015625,2846.06005859375
2020-04-15,133.67,53.05,4353.72021484375,2783.360107421875
2020-04-16,133.22,52.66,4350.16015625,2799.550048828125
2020-04-17,133.45,53.1,4499.009765625,2874.56005859375
2020-04-20,133.48,53.26,4528.2998046875,2823.159912109375
2020-04-21,134.26,53.61,4357.4599609375,2736.56005859375
2020-04-22,134.21,53.39,4411.7998046875,2799.31005859375
2020-04-23,137.54,53.46,4451.0,2797.800048828125
2020-04-24,138.25,53.14,4393.31982421875,2836.739990234375
2020-04-27,138.42,53.11,4505.259765625,2878.47998046875
2020-04-28,138.52,53.2,4569.7900390625,2863.389892578125
2020-04-29,136.69,53.0,4671.10986328125,2939.510009765625
2020-04-30,136.84,53.21,4572.18017578125,2912.429931640625
2020-05-01,,,,2830.7099609375
2020-05-04,136.78,53.12,4378.22998046875,2842.739990234375
2020-05-05,137.41,53.22,4483.1298828125,2868.43994140625
2020-05-06,137.5,53.51,4433.3798828125,2848.419921875
2020-05-07,137.25,53.17,4501.43994140625,2881.18994140625
2020-05-08,137.78,53.72,4549.64013671875,2929.800048828125
