date,r_log_s,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2024-05-08,-0.0005835635193424913,1.478766471923891,1.7291966762069495,1.5241324406955363,1.8723195046602443,1.7194246924901502,1.7194246924901502
2024-05-09,0.50780326391067,1.4379367204412283,1.651128330876522,1.4697571138352234,1.7407555725469368,1.643026747435373,1.643026747435373
2024-05-10,0.16480400801667,1.3967758753978583,1.5879159353965362,1.4156278001791938,1.6407448861920546,1.5831202701761742,1.5831202701761742
2024-05-13,-0.02413331738652,1.3694678877521356,1.5389622485803143,1.3973435575940578,1.596402753506778,1.5341539329508271,1.5341539329508271
2024-05-14,0.48261485274540006,1.3342667065725673,1.4788454188770386,1.3519735733915839,1.4985872010589742,1.476821108206609,1.476821108206609
2024-05-15,1.16478277872996,1.3015210054965338,1.421430208730668,1.3078873096785772,1.4176533491558787,1.421868458088433,1.421868458088433
2024-05-16,-0.2083837474088,1.2787827857323195,1.3804006505768684,1.2932612858900032,1.384441648816502,1.3810125307889756,1.3810125307889756
2024-05-17,0.11640956878937,1.3233052702084354,1.457662445418003,1.3399546897945924,1.4854505396011002,1.4543780729580855,1.4543780729580855
2024-05-20,0.09159703084911,1.2926973433339852,1.4127001317746093,1.3111905379618036,1.4396949112628128,1.410354316865462,1.410354316865462
2024-05-21,0.24987497668926,1.2547437026183397,1.3552211734580297,1.264818480586068,1.3409331546257013,1.3565126931792462,1.3565126931792462
2024-05-22,-0.27097912093521,1.2137741492770948,1.300884088180361,1.2146928865564344,1.248775606045045,1.3058244848240725,1.3058244848240725
2024-05-23,-0.74081622834719,1.174078755505605,1.2515373216105923,1.174870503960707,1.1835181512703878,1.2590068036029352,1.2590068036029352
2024-05-24,0.6976649076673199,1.1450604166838247,1.223182129977642,1.1492467549838536,1.1682882153176832,1.2300783632462364,1.2300783632462364
2024-05-28,0.024877090688590002,1.1770690341727361,1.2785482233407144,1.1831367955024839,1.2528503634781942,1.2804920214867688,1.2804920214867688
2024-05-29,-0.7394317215742501,1.1777579999680625,1.2758009910720292,1.1910489990566435,1.2736317365722596,1.274619060545351,1.274619060545351
2024-05-30,-0.59929575357541,1.1439961391399232,1.234690635731291,1.1430276615570578,1.2046895127760084,1.2373510762062838,1.2373510762062838
2024-05-31,0.79958242319288,1.178141818253191,1.2865789433393116,1.178780678649985,1.2822124426481405,1.2840293820826456,1.2840293820826456
2024-06-03,0.11154602235352001,1.1894858393604453,1.3020284630849248,1.198910704754672,1.3226535676842268,1.2951851376796677,1.2951851376796677
2024-06-04,0.15016810037827,1.2107946303619541,1.3164121371464537,1.2373284985056803,1.3612533687887591,1.3057539934267761,1.3057539934267761
2024-06-05,1.17780158499572,1.1637069281439216,1.250438350132434,1.1744800947894303,1.2523526998782983,1.231728562599091,1.231728562599091
2024-06-06,-0.01998366016368,1.130077534094369,1.207965654561292,1.1329843797774122,1.1778800041452255,1.205059138203421,1.205059138203421
