date,r_log_BRVM,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2024-11-08,0.417336672058582,0.9099704637947023,1.1106787166623002,0.8887318571736633,1.0926559941065361,0.8434235193412373,1.0609323966117827,0.8916959143431773,1.0940096031461513
2024-11-11,1.2634985249117918,0.8608546558541693,1.0717827864441785,0.8475936171769727,1.0603984710648446,0.814187661714337,1.0323369559970852,0.8445741665152564,1.0564524059965024
2024-11-12,-1.3040477836002735,0.8427673718011842,1.054722553327616,0.8473387299566204,1.059999596676895,0.8211774017722071,1.0282345157787136,0.8401018438401967,1.0512089132555074
2024-11-13,0.8846529200377444,1.0831502093060306,1.2834483639481324,1.0517990092115264,1.2482216109164865,1.1889280064732723,1.3134136809482433,1.0657971427540152,1.2605032736172266
2024-11-14,-0.4395128490330009,1.3071875709439515,1.5175981012453412,1.2533123722791943,1.4508560002662363,1.2197395107362452,1.4285166483763927,1.2875407075667211,1.484886557365657
2024-11-18,0.4066163083558403,1.2639259189717766,1.4943956816798045,1.2523727708989156,1.480388810454877,1.2566755618025247,1.4578719458632292,1.2767823101210922,1.5002141493414036
2024-11-19,0.5068656356427771,1.16791546899486,1.4071548234907691,1.1855677766613069,1.4319312894518177,1.1418750035756262,1.3691848146725085,1.1941270080001698,1.434087247071435
2024-11-20,-0.3023516501092807,1.0702211346879862,1.3141308608727906,1.1003153772256178,1.358611605327204,1.0619016599946864,1.293440594274963,1.096146640897767,1.3474604868985025
2024-11-21,-0.1716174448563458,1.0103590942734637,1.256026291518678,1.0580634663622297,1.3225780494924186,1.0230039099686783,1.2510817678850457,1.0448510599244005,1.301215068667031
2024-11-22,0.4521429762903902,0.9542788166993,1.19729492259891,1.0120274892433794,1.2770890789063232,0.9505830029831484,1.1877748769018073,0.9906320769713092,1.2473400161734365
2024-11-25,-0.2622856773023399,0.8943767107940392,1.1343381699683492,0.9485258023092917,1.214490898755442,0.8862094430366887,1.1266052819204415,0.9221872998050542,1.1781623435201294
2024-11-26,-0.2117871236373592,0.8699898549263336,1.1003542635410934,0.9290541953797584,1.1896944332934107,0.8799327623077866,1.1033989254208263,0.9015626840270763,1.1487405938914985
2024-11-27,-0.0438740820902116,0.846123810926113,1.0733243262898187,0.9059734173173172,1.1626077675379372,0.8396786773877728,1.0674458956125514,0.8770358958330186,1.1192271039193953
2024-11-28,0.2191781699343759,0.8221501690356418,1.0464611353039486,0.8780011293753158,1.1309405370025871,0.8067722169999035,1.0363262180507211,0.8490175384131632,1.0876333411682098
2024-11-29,0.2696598092040786,0.7887519906159922,1.0119192202230352,0.8205390995715812,1.0725744818545386,0.7750210895397357,1.0030566324680925,0.7970184375629593,1.0355353225139878
2024-12-02,-0.5217561777129759,0.767809250569447,0.9885942916738134,0.784812324700796,1.034673146221627,0.7587474035213425,0.9818693554877438,0.7666032712271637,1.0026538273856331
2024-12-03,0.2885794043021037,0.756897570107155,0.9763439344358223,0.7677295540304468,1.0127158721204765,0.753268531752186,0.970469260800719,0.7533662138454772,0.9848962526888398
2024-12-04,-0.1204445644447478,0.8225813832943493,1.0282200386842728,0.8443397891622404,1.0722359643606894,0.7754499317678734,0.9943416953450164,0.8335466422565748,1.050074624500824
2024-12-05,0.113149022017943,0.7968272642643456,1.0073370275420266,0.8188739443092407,1.0489962859277056,0.767476575077275,0.9812296804631082,0.8055533378014355,1.0266646169795206
2024-12-06,0.4622139868765166,0.775494319978408,0.9862109557274519,0.7950546412107363,1.021283602911963,0.7488175762743378,0.9612105622231845,0.7801418197962221,1.0002987680308262
2024-12-09,-0.0980873055591837,0.7525148579043631,0.9619493348032513,0.7515715553617025,0.9751761955682082,0.7313807311791384,0.9397960992933283,0.7412363408107789,0.9585021008193952
2024-12-10,-0.1782564089525973,0.7677851571303136,0.9688708444934045,0.7756373658483672,0.9891293537431196,0.771139888364269,0.9568510208567452,0.7678888248944877,0.9734225839773335
2024-12-11,0.0473234933569191,0.7524543812963247,0.9500912313462518,0.7557249199067808,0.9615873476723646,0.7506985594417827,0.9374742535626257,0.7480462628274325,0.9471015095171278
2024-12-12,-0.1967213749168702,0.7476407268772775,0.9417056499652603,0.7511867085407681,0.9508437082031056,0.739076143495473,0.926393257895315,0.7447286451531,0.9374051464627159
2024-12-13,0.4547860342660491,0.7315259595290231,0.9262569866844713,0.7102940628037397,0.9074505821889972,0.7238549332614895,0.9117604909108509,0.7096413208707778,0.901378223182023
2024-12-16,0.0907095361630227,0.7336532791915463,0.9240024156219406,0.7149490838597542,0.9058040251733395,0.7197756166603201,0.9064871341925458,0.7170656661191788,0.9018533790810915
2024-12-17,-0.673207178526573,0.7520171300290507,0.9337651726771348,0.7402443578899358,0.9224134020496656,0.7580044297731301,0.9252897107306496,0.7467451366572111,0.9208072994696793
2024-12-18,0.0365056770381398,0.7364313792145067,0.9143688654829784,0.7011527569347412,0.8767493740457224,0.7387169963108855,0.9061944885423037,0.7102512434794714,0.879799402015541
2024-12-19,0.1313102027017201,0.8321368424365206,1.0004064040476919,0.7984230503362431,0.9648044434984375,0.782401545692908,0.9600051893488827,0.8180322726951743,0.9786272267773266
2024-12-20,0.0145793847757961,0.7987876533373593,0.9779423928455159,0.7540606887325826,0.9260980028445862,0.7580263440939162,0.9449232306519061,0.7670661479637129,0.9388184190057912
2024-12-23,0.3311080580639305,0.7774479640034728,0.9625590875940476,0.724612974436763,0.8953352235092068,0.7419920095236526,0.9343132039981443,0.733416685211907,0.9082509250466627
2024-12-24,-0.7364770053830078,0.7552025638631401,0.939068330200801,0.6903692223087301,0.8574240117934605,0.7254624923321913,0.9137591984104648,0.699109275508397,0.8698340243279223
2024-12-26,-0.1904692711647925,0.7535188493427728,0.9364528855801763,0.7025773694029721,0.8674391849998153,0.7365440535759656,0.9170694161812375,0.7144401631878193,0.881832696783961
2024-12-27,-0.1027108413541374,0.8640558856610006,1.0371720556883341,0.8200948178091013,0.9778208196232586,0.7960100378671644,0.9880802957119968,0.8405431123475122,1.0007092107901792
2024-12-30,-0.0954689064212837,0.8348290029756058,1.0158447624142455,0.8075274893825598,0.971628000825221,0.7733919509267252,0.9692166435105714,0.8212469713142208,0.9887971597106393
2024-12-31,1.3899499624467784,0.8064714599387733,0.9866098831885706,0.7814144753647937,0.9433916981265184,0.7541544824374322,0.9453533552667607,0.7903640770942929,0.9569500570753979
2025-01-02,0.0398442457503436,0.784994095643601,0.9706754389574204,0.7607319651114645,0.9272316496582145,0.7414355196360976,0.9376171080507676,0.7652224348510912,0.937344871249622
2025-01-03,-0.0797043734681328,1.0596419770200058,1.2491220299335617,0.9903111830496049,1.1568989506415819,1.1740277883571326,1.2799075756588412,1.000675800832016,1.1769672149022834
2025-01-06,-0.0289991664772135,0.9728531849059617,1.167698693005639,0.9019940486528548,1.0727429250048368,1.0560833771948124,1.1930627572878696,0.8980921726090207,1.084216154717472
2025-01-07,-0.5270727019925158,0.9049280763958324,1.1067269888929339,0.852515585269855,1.0288307384689883,0.9634228059041963,1.126260790825114,0.8417766631123055,1.03173933880444
2025-01-08,-0.4566134579573015,0.8574560396500883,1.0621410508847156,0.8059948848340083,0.9861296264603325,0.8996050112898205,1.0765410746976618,0.7888587988609438,0.978212885213347
2025-01-09,-0.3263842125795477,0.8792874545257312,1.0760281088575605,0.8630071250974334,1.038067779295523,0.8767032208754716,1.0725097983454814,0.8573979512575978,1.0377150549081167
2025-01-10,-0.1727909843344313,0.8835518410071325,1.0741014101669892,0.8939210353458605,1.0696661531210865,0.8547605608724584,1.0605818128271982,0.8938626538184117,1.069038786461922
2025-01-13,0.8536882959434228,0.8641904083407276,1.051686015226844,0.8881246029739884,1.0652101858778749,0.8286604726548658,1.0347051093100321,0.8890732023021348,1.0646566171978311
2025-01-14,-1.2629582660380585,0.8329720818150355,1.0215134883197081,0.8558029355557405,1.035662751052902,0.8005629330608718,1.005330357680544,0.8523546829202033,1.0324543472655432
2025-01-15,-0.2108183859864631,0.9155806641507818,1.1058896945562435,0.9432530665796982,1.1298237238929576,0.9501486303519678,1.110914332282001,0.9487214829154511,1.1307109609876738
2025-01-16,0.3105248142322014,1.1473936760198558,1.3480946867979497,1.1283946774290983,1.3309368309396956,1.033879215812769,1.2782197164832683,1.1379621774718196,1.3363642250679242
2025-01-17,0.9514260400228688,1.0313948442498344,1.2381236261199993,1.0278876391299447,1.236226815799969,0.9422830252895185,1.1832129067141908,1.0280902191486951,1.2358705709428768
2025-01-20,-0.3626045544279048,0.9466619762969205,1.1572026780725961,0.9527904645638948,1.1660336580568083,0.8878948081489418,1.1187204140670897,0.9461636641670605,1.1603496736652137
2025-01-21,-0.1615805867321723,1.013256462797553,1.2264440259490823,1.0310880404086262,1.251218287638205,1.0508114702749218,1.2289621930889496,1.0349905591720556,1.2517123204943355
2025-01-22,0.0330718212726485,0.9565613427080336,1.1690645187319666,0.9911838249511901,1.2110225786936089,0.9646222344969517,1.164380636882331,0.9937917491391619,1.2095545709065312
2025-01-23,0.4838009729864269,0.8943404961331424,1.1071557090153297,0.9256612760148064,1.1440339261382384,0.8928415262894186,1.1031692198774408,0.921401014830724,1.1378085154946254
2025-01-24,0.2081926350548038,0.8419895573353235,1.050501189417571,0.8434788085962182,1.0532172807576594,0.838409612872739,1.0481892727718158,0.8291086608788389,1.0442808292158121
2025-01-27,0.8139875606188335,0.8410742547418529,1.045158793527647,0.8576848395167012,1.0645902074639084,0.8542443954692276,1.0486567861276068,0.8513170526715687,1.0578060631651025
2025-01-28,0.6673063880833682,0.8101432516825268,1.0105590888542726,0.8137134671829805,1.0161282868234858,0.8178321170030036,1.0130773063487573,0.8049022481488005,1.0082654861451872
2025-01-29,0.1760026315939201,0.8920467018861707,1.0893621856925637,0.9063221385304326,1.1082771268214142,0.9501358107983351,1.1078314313777946,0.907411975638803,1.105138035009197
2025-01-30,-1.0606925334188042,0.9057843938894925,1.1013710659839584,0.9375921034947153,1.1395838102703981,0.9752343133274524,1.1270770949255364,0.9433585626503173,1.1386249601286418
2025-01-31,0.7911748067100679,0.8534939602538499,1.0530999725372616,0.8662850269424773,1.0714116424716422,0.8997162562381049,1.0721210437744173,0.8612289080039074,1.0655757814351445
2025-02-03,-0.2377779698673922,1.031223687215832,1.2226926065803925,1.025657759949903,1.2252772571977195,0.9565603829370837,1.17825141708102,1.0271815701127363,1.2248615244305994
2025-02-04,0.8869795111084134,1.0261283897561344,1.226936430974168,1.0457149504237617,1.2550184313830783,1.0225453889689278,1.2129472956888303,1.0537201068114699,1.2575774846619892
2025-02-05,0.1286219763588766,0.9524519167124537,1.1596447501418132,0.9793865912321128,1.1945602618615043,0.9394663365092742,1.1468431017776537,0.9800390888952829,1.1913704256293138
2025-02-06,0.6973876334112249,0.9972295615152604,1.2017898556141122,1.033221736910012,1.249034370950942,1.0485341304000668,1.2151506417516953,1.0421194406726997,1.2518736685196261
2025-02-07,0.3680768622066097,0.9132849749998171,1.1210468666787536,0.9230402391631021,1.1404546771410573,0.9480780674827588,1.13274075783904,0.9144893131008043,1.1352454244995307
2025-02-10,-0.6165859364212176,0.9271395643605596,1.1312979460453874,0.9563095780886754,1.1717204696808494,0.9850254517680245,1.1529831693910269,0.9558641917860876,1.16881242148602
2025-02-11,-0.1850073463265699,0.8800799839314369,1.0822669566687046,0.9129502873262811,1.1262915547010504,0.9256104039396978,1.1016989456646022,0.9092205411990815,1.1194732229537483
2025-02-12,0.9039889981366112,0.9195656289658267,1.1149806085240344,0.9614908154167132,1.1698078643895102,0.9036445746999496,1.1048750182054756,0.9652335546817488,1.1667711334589936
2025-02-13,-0.2508790913223773,0.8703171444350206,1.066331267103761,0.9083020816629146,1.1152444831761297,0.849898104268658,1.054796838179987,0.9057729261314637,1.1075094455733392
2025-02-14,0.4729643152369573,0.9543182532910345,1.155597358822403,0.9908849005058739,1.2038428015397067,1.0083438760071382,1.1718543812195836,0.9970035841488701,1.2022090661453986
