date,r_log_ca,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2020-06-18,-0.7477937598466218,5.150677775903313,7.576885046177074,4.752875816771078,7.287650853279241,5.246028824261952,6.996528043262397,5.036571883555281,7.408050935493943
2020-06-19,0.4165789547657998,4.541314446390854,6.922992188108145,4.244261597002415,6.658608369004263,4.63274936504408,6.4648657368923335,4.435399204037454,6.725588350226405
2020-06-22,-0.6194527100969194,4.041161791248107,6.368629250960517,3.8669647317472573,6.165180339868732,4.237225442141881,6.131847210762558,3.9585074631026393,6.166995387321065
2020-06-23,1.3842755223628842,3.5202908536026203,5.794838006629661,3.360451976541753,5.514830731850455,3.7435617981081135,5.712736108500567,3.4241015414459293,5.525595575282666
2020-06-24,-2.9594579693796432,3.161507836331088,5.308666798369961,3.115603194413013,5.115454964678422,3.4439698017402445,5.397220715606122,3.0950053179192594,5.055468617979107
2020-06-25,0.9646756020605058,3.1170827898212417,5.134295323917878,3.182278541795051,5.1365147443098325,3.1053093648439907,4.999433775666659,3.1114640771627453,4.993785309064323
2020-06-26,-0.1819239633724897,4.321827769896035,6.327292041693888,4.159700856868543,6.294682414881136,5.065187944511067,6.712268970675624,4.257995483882616,6.228573536932102
2020-06-29,0.7269328895631704,3.88573939978032,5.843538999694586,3.8199611808064056,5.878465539503298,4.4996439925834215,6.213947161225007,3.843316640818519,5.758123653493628
2020-06-30,-0.1916667953455599,3.405482905964512,5.327596448943893,3.312480775684376,5.2391696548876,4.005625568828312,5.807054201875741,3.33114148779232,5.161146191049394
2020-07-01,-0.1835214352646987,3.0644311341411177,4.916020530780011,3.0526369382327814,4.888716786257334,3.57195946865928,5.39778509724324,3.010782467869552,4.757769595947225
2020-07-02,2.454734646527922,2.7025545030816205,4.450250019250626,2.697119749256452,4.372048491038923,3.192302186628311,5.023674767344764,2.6379836762319213,4.246971109995368
2020-07-03,-0.8400519148140606,2.3950851348413917,4.042881915927954,2.4082994595028127,3.946558819487951,2.8613653446266047,4.688979358179256,2.3295335304457097,3.8154259106950272
2020-07-06,1.4743494277030949,3.356698645602555,5.0176680564232266,3.2264131534789855,4.944547758230648,2.777995319980269,4.384299523549241,3.2805334308481635,4.886749378897167
2020-07-07,-0.7462531541218579,3.1171465458526497,4.722939278614848,3.1134346670231436,4.779597615127332,2.777004339534858,4.311037388162499,3.083343590424559,4.643106936198409
2020-07-08,-1.2489134451131938,3.1301578801644343,4.708434649343847,3.223518505403431,4.918344204265104,2.5586187350111524,4.024307692872363,3.146904163346936,4.7169431838535045
2020-07-09,-1.2143003039499756,2.9031527841384097,4.446878418661641,3.0727505086259774,4.731090329497096,2.5540725846767844,3.97667364718851,2.940154907310567,4.479521817895524
2020-07-10,1.0002664630798928,2.940915098940913,4.436104635139713,3.1721363813175065,4.830070698783313,2.9188660989229125,4.245734209795328,3.009839771277309,4.536436922822534
2020-07-13,1.7104731460963192,2.9505369119224083,4.429827985064103,3.2340979446397453,4.914095757911625,3.1454048888260204,4.459117314168475,3.0451325894801946,4.582882467629927
2020-07-14,-0.9692349746317124,2.7896235651762904,4.232441451299363,3.110069502361447,4.765285497558352,2.843235913518071,4.155311762262384,2.8920070557479676,4.39974761370761
2020-07-15,2.007097915057216,3.0325596499495107,4.493249219402281,3.3337761732728506,5.069767521652134,2.638401507146791,3.9060830462164913,3.142272481630198,4.695189718216962
2020-07-16,-0.4649722207803395,2.907040997146828,4.332083995102189,3.252207216521154,4.9535110479487034,2.7595902113252855,3.986335343310465,3.027487765700485,4.555329679051983
