date,r_log_ca,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S
2020-07-28,-0.21644859812486,1.8660396620597315,2.3129894116063485,1.9288267606101464,2.4542985073828194,0.9042072589615476,1.0194715798099534,2.349894219563886,2.349894219563886
2020-07-29,0.6027780565223401,1.6912153576406974,2.150069083677714,1.7718687440911614,2.283996247011615,0.8296155050701233,0.957835977288957,2.1742174091396644,2.1742174091396644
2020-07-30,-2.15670286858611,1.5301302554771024,1.9913184119333769,1.6089277167540388,2.1000337356153977,0.8263462504053198,0.9430186897312827,1.9954851634933923,1.9954851634933923
2020-07-31,-1.43724918172723,1.4326280861571417,1.8819261337080553,1.5356607639052402,2.013709264403465,0.8227215128400512,0.9504532280425666,1.8924629744822994,1.8924629744822994
2020-08-03,1.90986885682497,2.125771256100872,2.5317048773788033,2.099019031864668,2.588321650917361,0.8346610857231868,0.9465673968577142,2.5205637100047293,2.5205637100047293
2020-08-04,0.27832516168728,2.208258888033377,2.6270059830304007,2.2476492083588244,2.7546708039505066,1.0906050178267,1.1343542322729987,2.65804735750858,2.65804735750858
2020-08-05,0.8922068626011901,2.4058604117522386,2.838092322599599,2.4691442951039098,3.006336758205184,3.971024517030387,4.346491848370014,2.8969561326340103,2.8969561326340103
2020-08-06,-0.98203385503175,2.1240982753493305,2.6005581048190636,2.139532868937189,2.687056766276036,3.5065640921997727,4.027278507122005,2.610680712448516,2.610680712448516
2020-08-07,0.08982699243056999,1.9755352164509727,2.460251351984203,2.0491049527343614,2.597415632028725,4.254688050372412,4.943056907045876,2.487687254571787,2.487687254571787
2020-08-10,0.40799495993191,1.9287128853119468,2.407264722752244,2.0598612637467153,2.6022188920339713,3.830929042037083,4.5370549629520305,2.4634471728053207,2.4634471728053207
2020-08-11,2.38462557242556,1.7102285903454872,2.1979034184248656,1.7569714851205231,2.2814465480689607,3.798277903637482,4.587831233670001,2.208315490245511,2.208315490245511
2020-08-12,0.8973127614996501,1.5456052366808768,2.028041519527741,1.5982361977929995,2.1022474815218675,3.2400239308528995,4.113617560751501,2.0235972529429884,2.0235972529429884
2020-08-13,-0.61153064895417,2.23868396404793,2.6805218281060474,2.171784837304721,2.692744291549148,2.872589493406191,3.7475673778870604,2.660128036827612,2.660128036827612
2020-08-14,-1.58818420508352,2.072210891984046,2.5414303381855023,2.0780411513399435,2.614607590760186,2.473926418512466,3.3717614025255584,2.5398403659471085,2.5398403659471085
2020-08-17,0.18137666599993002,1.9104173127996302,2.3979695419363725,1.9716581121884884,2.5107135453078673,2.192051807356587,3.090899543642398,2.405652303169702,2.405652303169702
2020-08-18,-0.68375408291262,2.1193749743852583,2.5902822208877727,2.2028155220954035,2.748912930790761,2.1135137201237666,2.9805264605071264,2.6289915768313046,2.6289915768313046
2020-08-19,0.79009540791881,1.8775277576198781,2.3615124691142126,1.8989096538788262,2.430515115421463,2.208747167273433,3.018672856541923,2.360196028250344,2.360196028250344
