date,actual_return,VaRGARCH_N,VaRGARCH_S,VaReGARCH_N,VaReGARCH_S,VaRgGARCH_N,VaRgGARCH_S,VaRaGARCH_N,VaRaGARCH_S,BB_1,BB_5,BB_10,BB_15,BB_20,BB_30,BB_35,BB_40
2022-02-09,1.4474103605678692,2.664217318250986,4.759263748960738,2.910619036444581,5.142320897741666,2.980260971337556,5.250958834692891,2.728055112197404,4.703257491224333,2.712977882112936,2.4555618753798987,2.893324027784577,2.712977882112936,3.173651432763182,2.893324027784577,3.173651432763182,3.173651432763182
2022-02-10,-0.4121589958902008,2.410900587298638,4.35773856982555,2.604358763681436,4.616188568076903,2.7094795970342096,4.934048329600368,2.438866385323478,4.260278952816585,2.9594579693796432,2.9594579693796432,2.712977882112936,2.573193341461687,3.173651432763182,2.712977882112936,3.173651432763182,3.173651432763182
2022-02-11,-1.2747108283428887,2.613910289512486,4.524429382085383,2.8216924344912804,4.892727788621288,2.533550343439989,4.650885860763021,2.672582488423653,4.497473733940054,2.573193341461687,3.173651432763182,2.9594579693796432,2.573193341461687,2.712977882112936,3.380414420066586,3.173651432763182,3.173651432763182
2022-02-14,-2.2996137196467057,2.416656042880682,4.211896828716022,2.646755892640568,4.602765906651177,2.3958402934456617,4.43777874611256,2.470365793296224,4.20126954402301,2.9594579693796432,3.173651432763182,3.173651432763182,3.430648358001197,2.712977882112936,3.380414420066586,3.430648358001197,3.173651432763182
2022-02-15,1.8474852453214208,2.6117435409078853,4.475709193318273,2.856474462128941,4.9484607025047485,2.7946054629581583,4.778636436231377,2.694805099926725,4.507080003382787,3.6354809996002566,2.9594579693796432,2.9594579693796432,2.4632284135925344,2.9594579693796432,3.173651432763182,2.4632284135925344,2.4632284135925344
2022-02-16,-0.2149916627734316,3.419641656114236,5.600335640725435,3.484626648493811,5.920307173809208,3.9738458131697145,5.973923450030558,3.46733070619686,5.5398261872666,3.6354809996002566,3.430648358001197,3.430648358001197,2.9594579693796432,3.3712811232574587,3.173651432763182,3.430648358001197,3.430648358001197
2022-02-17,-0.2610757316811046,3.550771132976414,5.778530147888876,3.67475338524556,6.209086093639487,3.635367736705071,5.607090980778869,3.643122051799725,5.78237969478377,3.173651432763182,3.834599728553148,4.391545390277833,4.391545390277833,4.820455797712169,3.6354809996002566,3.84572401616364,4.391545390277833
2022-02-18,-0.2477571794277126,3.146461729674542,5.313746035689603,3.254640778796373,5.661358899895222,3.2888074255852757,5.322580956879808,3.1925225709449805,5.254291098635159,2.1952033669349618,3.3712811232574587,3.430648358001197,3.3712811232574587,3.380414420066586,3.6354809996002566,3.430648358001197,3.430648358001197
2022-02-21,-2.0599992320524088,2.8228598085184813,4.922960023170076,2.9438350234560926,5.23079364735295,3.002185244042652,5.057782799336053,2.844496082852534,4.826877993234399,2.1346567211211096,2.893324027784577,3.173651432763182,2.712977882112936,2.712977882112936,2.4632284135925344,2.4632284135925344,2.4632284135925344
2022-02-22,-0.0108978987484462,2.5549457417579537,4.577172783621332,2.6882064191348447,4.859682144614613,2.754617133099769,4.822888405398419,2.5606966722598017,4.457928667195814,3.810818152680174,3.173651432763182,2.9594579693796432,3.173651432763182,2.573193341461687,2.4632284135925344,2.573193341461687,2.4632284135925344
